age,gender,daily_gaming_hours,game_genre,primary_game,gaming_platform,sleep_hours,sleep_quality,sleep_disruption_frequency,academic_work_performance,grades_gpa,work_productivity_score,mood_state,mood_swing_frequency,withdrawal_symptoms,loss_of_other_interests,continued_despite_problems,eye_strain,back_neck_pain,weight_change_kg,exercise_hours_weekly,social_isolation_score,face_to_face_social_hours_weekly,monthly_game_spending_usd,years_gaming,gaming_addiction_risk_level
16,Male,5.2,Mobile Games,Clash of Clans,PC,5.7,Fair,Sometimes,Average,1.03,,Anxious,Never,FALSE,FALSE,FALSE,TRUE,FALSE,0.4,9.1,2,6.7,20.36,4,Low
13,Male,4,Battle Royale,PUBG,Console,5.1,Poor,Always,Average,1.42,,Anxious,Daily,FALSE,FALSE,FALSE,FALSE,FALSE,0.4,6.4,2,12.1,27.46,1,Low
26,Male,8.3,RPG,Elden Ring,Multi-platform,5.4,Poor,Often,Average,,4,Withdrawn,Never,FALSE,TRUE,TRUE,TRUE,FALSE,4.4,7.6,5,3.5,49.13,1,High
16,Female,3.6,Strategy,Civilization VI,Mobile,5.5,Very Poor,Always,Good,4,,Euphoric,Daily,FALSE,FALSE,FALSE,FALSE,FALSE,0.6,9.8,3,10.2,20.78,4,Low
24,Male,7.9,MMO,Final Fantasy XIV,Console,4.6,Good,Often,Average,,2,Withdrawn,Rarely,TRUE,TRUE,FALSE,TRUE,TRUE,0.9,5.3,5,5,30.7,11,High
19,Male,8,RPG,Cyberpunk 2077,Console,3.4,Poor,Often,Below Average,2.1,4,Restless,Often,TRUE,TRUE,TRUE,TRUE,FALSE,1.4,4.1,7,6.4,104.41,9,Severe
19,Male,9.3,Mobile Games,Clash of Clans,Multi-platform,4.8,Very Poor,Always,Below Average,3.59,2,Euphoric,Sometimes,TRUE,FALSE,TRUE,TRUE,TRUE,2.7,4,7,5.7,113.26,2,Severe
20,Male,10.2,RPG,Elden Ring,Mobile,5.1,Poor,Never,Poor,3.47,7,Irritable,Daily,FALSE,FALSE,FALSE,FALSE,TRUE,1.8,3,7,4.5,314.14,6,Moderate
24,Male,7.2,MOBA,Dota 2,Console,4.6,Insomnia,Sometimes,Poor,,1,Restless,Never,TRUE,TRUE,FALSE,TRUE,TRUE,3.4,7.5,5,6.7,83.77,5,High
15,Male,7,MOBA,League of Legends,PC,4.7,Fair,Never,Average,1.91,,Anxious,Never,TRUE,FALSE,FALSE,TRUE,TRUE,3.2,6.3,4,8.9,80.95,4,Moderate
21,Male,8.2,Mobile Games,Clash of Clans,Multi-platform,3.7,Poor,Often,Poor,1.78,8,Angry,Often,TRUE,FALSE,FALSE,TRUE,TRUE,0.8,4,4,5.5,52.5,1,Moderate
22,Male,4.4,FPS,CS:GO,Mobile,5.2,Poor,Often,Good,1.85,7,Restless,Never,FALSE,FALSE,FALSE,FALSE,FALSE,1.4,9.3,3,8,21.43,5,Low
20,Male,5.8,MOBA,League of Legends,Multi-platform,6,Fair,Sometimes,Good,1.08,5,Normal,Daily,FALSE,TRUE,FALSE,FALSE,TRUE,2.6,6,5,6.6,111.06,10,Moderate
21,Male,9.7,Battle Royale,PUBG,Mobile,4.5,Insomnia,Never,Below Average,3.37,8,Euphoric,Sometimes,TRUE,FALSE,FALSE,FALSE,FALSE,0.5,3.7,8,2.5,276.24,7,High
17,Other,3.2,MOBA,League of Legends,Mobile,7.2,Fair,Never,Average,2.58,,Normal,Often,FALSE,FALSE,FALSE,FALSE,FALSE,1.5,7.6,1,9.2,39.13,2,Low
18,Male,8.9,Strategy,Civilization VI,Console,3.5,Good,Always,Good,1.34,,Angry,Never,TRUE,FALSE,FALSE,TRUE,TRUE,2.7,4.9,5,5.1,342.1,2,High
30,Female,6.6,MMO,Final Fantasy XIV,PC,5.2,Very Poor,Rarely,Poor,,7,Excited,Never,TRUE,FALSE,FALSE,TRUE,TRUE,1.3,6.5,5,6.8,11.24,15,Moderate
18,Male,3.9,RPG,Cyberpunk 2077,Multi-platform,6.5,Poor,Never,Below Average,2.73,,Normal,Often,FALSE,FALSE,FALSE,FALSE,FALSE,0.3,9.4,3,10.9,23.79,6,Low
19,Male,10.4,Strategy,StarCraft II,Mobile,5.1,Very Poor,Often,Failing,1.76,3,Withdrawn,Sometimes,TRUE,TRUE,FALSE,FALSE,TRUE,5,5.6,8,5.9,412.09,5,Severe
19,Male,5.3,MOBA,League of Legends,Multi-platform,6.4,Poor,Rarely,Average,1.43,8,Irritable,Never,FALSE,FALSE,FALSE,TRUE,FALSE,2.4,7.9,4,9.6,39.82,1,Low
16,Male,4.8,MOBA,League of Legends,Console,5.3,Fair,Never,Excellent,1.61,,Depressed,Daily,FALSE,FALSE,FALSE,TRUE,FALSE,0.9,7.5,4,9.4,69.97,2,Low
16,Female,6.4,MOBA,Mobile Legends,PC,5.4,Fair,Rarely,Below Average,3.34,,Normal,Often,FALSE,FALSE,FALSE,FALSE,FALSE,0.1,8.3,3,8,34.14,6,Low
17,Male,10.6,RPG,Elden Ring,Mobile,4.1,Insomnia,Often,Poor,1.06,,Angry,Often,FALSE,TRUE,TRUE,FALSE,TRUE,1.8,6.2,8,3,247.77,1,Severe
17,Male,6.7,FPS,Call of Duty,Mobile,5.3,Insomnia,Often,Average,1.21,,Restless,Never,FALSE,FALSE,FALSE,TRUE,TRUE,1.4,8.1,4,8.6,34.13,1,Low
20,Male,6.9,Battle Royale,Fortnite,Console,4.7,Insomnia,Always,Below Average,3.29,2,Restless,Sometimes,TRUE,FALSE,FALSE,FALSE,FALSE,1.1,8,4,6.4,59.03,10,Moderate
16,Female,2.2,FPS,Call of Duty,Multi-platform,7.7,Fair,Sometimes,Excellent,1.45,,Normal,Sometimes,FALSE,FALSE,FALSE,FALSE,FALSE,0.1,8.6,1,11.1,31.73,6,Low
22,Male,9,MOBA,Mobile Legends,Console,5.3,Poor,Sometimes,Poor,1.11,2,Depressed,Never,TRUE,FALSE,FALSE,FALSE,TRUE,3.3,7.2,5,1.6,168.77,12,High
25,Other,4.7,RPG,Cyberpunk 2077,Multi-platform,7,Good,Never,Average,,1,Irritable,Never,FALSE,FALSE,FALSE,TRUE,FALSE,0.6,7.4,4,9.1,110.14,9,Low
18,Male,10.4,MOBA,Mobile Legends,PC,4.7,Poor,Never,Poor,3.55,,Anxious,Daily,TRUE,TRUE,FALSE,TRUE,TRUE,1,6.6,6,5.7,326.87,5,Severe
19,Male,12.2,MOBA,Dota 2,Mobile,5.9,Fair,Often,Below Average,3.72,10,Depressed,Sometimes,TRUE,TRUE,FALSE,FALSE,TRUE,2.1,4.7,7,0.5,473.21,5,Severe
27,Male,4.3,Strategy,StarCraft II,PC,5.3,Very Poor,Rarely,Good,,5,Normal,Daily,FALSE,FALSE,FALSE,FALSE,FALSE,2.8,7.9,2,8,44.35,7,Low
22,Female,6.3,MOBA,Mobile Legends,Console,5.5,Fair,Sometimes,Below Average,3.98,4,Restless,Never,FALSE,FALSE,FALSE,TRUE,TRUE,0.2,9,2,9.7,53.06,7,Low
18,Male,7.7,Strategy,Civilization VI,Multi-platform,5.6,Poor,Sometimes,Below Average,3.22,,Anxious,Daily,FALSE,TRUE,TRUE,TRUE,TRUE,0.3,4.8,7,5.6,110.52,5,High
21,Female,8.4,RPG,Elden Ring,Console,5.7,Poor,Often,Failing,3.14,9,Anxious,Rarely,TRUE,TRUE,FALSE,TRUE,FALSE,0.6,4.8,5,6.3,128.87,2,High
18,Male,7.2,Strategy,Civilization VI,PC,3.9,Poor,Often,Below Average,3.97,,Depressed,Never,TRUE,FALSE,FALSE,TRUE,TRUE,0.4,4.6,6,5.2,130.82,7,Moderate
21,Male,5.1,RPG,Skyrim,Multi-platform,5.8,Fair,Never,Good,2.72,10,Irritable,Never,FALSE,FALSE,FALSE,FALSE,FALSE,1.1,7.3,3,11.3,20.68,5,Low
25,Male,5.8,MOBA,Dota 2,Mobile,5.3,Fair,Rarely,Below Average,,3,Excited,Rarely,FALSE,TRUE,FALSE,TRUE,FALSE,0.5,6.6,5,9.2,55.18,11,Moderate
21,Male,7.6,FPS,Overwatch,Mobile,5.6,Very Poor,Often,Poor,1.5,9,Euphoric,Rarely,TRUE,FALSE,TRUE,TRUE,TRUE,0.7,4.7,6,4.6,38.69,6,High
23,Male,2.6,FPS,Call of Duty,Mobile,8.3,Poor,Always,Good,,4,Normal,Never,FALSE,FALSE,FALSE,FALSE,FALSE,0.4,8.8,1,14,6.45,3,Low
21,Male,1.3,Battle Royale,Warzone,PC,8.4,Fair,Rarely,Good,1.44,5,Normal,Often,FALSE,FALSE,FALSE,FALSE,FALSE,0.5,9.6,1,12.6,15.07,8,Low
24,Male,6.2,RPG,Cyberpunk 2077,Multi-platform,5.9,Fair,Often,Average,,10,Anxious,Rarely,FALSE,TRUE,FALSE,FALSE,FALSE,0.8,6.5,6,4.9,135.88,14,Moderate
21,Male,9.1,RPG,Elden Ring,PC,3.2,Very Poor,Never,Average,2.92,1,Irritable,Rarely,TRUE,TRUE,FALSE,TRUE,TRUE,1.4,4.9,7,3.8,396.01,1,Severe
22,Male,10.1,MOBA,Dota 2,Multi-platform,3.4,Poor,Sometimes,Below Average,1.1,2,Angry,Sometimes,TRUE,TRUE,FALSE,TRUE,FALSE,2.8,4.2,8,2,358.37,3,Severe
25,Male,7.9,FPS,Valorant,Multi-platform,5.1,Fair,Sometimes,Average,,6,Angry,Rarely,TRUE,FALSE,FALSE,TRUE,FALSE,0.5,7.4,5,3.3,53.96,7,Moderate
19,Female,2.9,Strategy,Civilization VI,Multi-platform,8,Good,Always,Excellent,3.29,10,Angry,Rarely,FALSE,FALSE,FALSE,FALSE,FALSE,0,8.8,1,9.7,35.81,9,Low
19,Male,4.6,Strategy,StarCraft II,PC,5.9,Fair,Rarely,Below Average,2.1,6,Normal,Never,FALSE,FALSE,FALSE,FALSE,FALSE,1,8.5,3,9,10.06,1,Low
21,Male,5.7,MMO,Final Fantasy XIV,Multi-platform,5.7,Good,Always,Average,3.84,4,Angry,Never,FALSE,TRUE,FALSE,FALSE,TRUE,2.4,7.3,3,9.4,123.33,8,Moderate
22,Female,8.2,MOBA,League of Legends,Multi-platform,4.2,Poor,Rarely,Poor,2.27,6,Withdrawn,Rarely,FALSE,TRUE,FALSE,TRUE,TRUE,1.9,4.2,5,7.8,77.94,5,Moderate
19,Female,3.1,MOBA,League of Legends,Mobile,7.2,Good,Sometimes,Excellent,3.51,1,Euphoric,Sometimes,FALSE,FALSE,FALSE,FALSE,FALSE,1.2,9.1,1,9.7,15.06,1,Low
22,Female,7.3,Strategy,Age of Empires,Mobile,3,Poor,Never,Excellent,2.15,5,Angry,Sometimes,TRUE,FALSE,FALSE,TRUE,TRUE,0.7,7.9,4,8.8,31.57,12,Moderate
17,Female,10.9,MMO,Elder Scrolls Online,Mobile,3.8,Poor,Often,Below Average,3.21,,Irritable,Daily,TRUE,TRUE,TRUE,TRUE,TRUE,3.5,3.7,6,1.1,232.94,2,Severe
28,Male,11,RPG,Skyrim,Multi-platform,3.3,Very Poor,Sometimes,Average,,7,Anxious,Daily,TRUE,TRUE,TRUE,TRUE,FALSE,2.4,5.5,5,0.3,207.35,4,Severe
19,Male,11,Mobile Games,PUBG Mobile,PC,3.7,Fair,Often,Poor,3.52,8,Irritable,Never,TRUE,FALSE,FALSE,FALSE,FALSE,8,6.3,8,0.4,484.09,8,High
24,Male,10.5,MMO,Final Fantasy XIV,Multi-platform,4.5,Very Poor,Often,Poor,,4,Anxious,Often,TRUE,TRUE,FALSE,FALSE,TRUE,3.1,3.3,6,3.6,240.74,10,Severe
19,Female,7,Strategy,Age of Empires,Multi-platform,4.1,Very Poor,Rarely,Below Average,1.42,4,Restless,Sometimes,TRUE,FALSE,FALSE,TRUE,FALSE,0,8.4,4,5.4,45.66,8,Moderate
16,Female,2,RPG,Elden Ring,Mobile,7.6,Fair,Rarely,Excellent,1.23,,Normal,Daily,FALSE,FALSE,FALSE,FALSE,FALSE,0.1,9.9,3,12.7,23.53,5,Low
24,Male,11.2,MMO,Final Fantasy XIV,Mobile,4,Very Poor,Never,Poor,,10,Angry,Daily,TRUE,TRUE,TRUE,TRUE,FALSE,3.5,5,8,0.7,246.83,8,Severe
21,Male,4.4,FPS,Call of Duty,Multi-platform,6.6,Fair,Rarely,Below Average,3.23,9,Angry,Rarely,FALSE,FALSE,FALSE,FALSE,FALSE,1.7,9,3,8.8,45.31,8,Low
17,Male,6.3,Mobile Games,PUBG Mobile,Mobile,5,Poor,Rarely,Average,3.5,,Withdrawn,Never,FALSE,FALSE,FALSE,TRUE,TRUE,0.3,7.6,3,8.2,41.6,5,Low
18,Male,4.2,FPS,Valorant,Mobile,6.1,Poor,Never,Average,1.64,,Normal,Rarely,FALSE,FALSE,FALSE,FALSE,FALSE,0.6,7.2,1,9.5,6.99,7,Low
20,Male,3.9,MMO,Elder Scrolls Online,Console,6.3,Good,Never,Good,3.5,9,Angry,Often,FALSE,FALSE,FALSE,FALSE,FALSE,0,7.9,2,9,36.21,2,Low
18,Female,1.5,Strategy,StarCraft II,Mobile,7,Good,Never,Average,1.24,,Irritable,Daily,FALSE,FALSE,FALSE,FALSE,FALSE,0.3,11.5,1,13.6,32,7,Low
24,Male,8.8,Strategy,Civilization VI,Mobile,4.1,Very Poor,Sometimes,Good,,6,Irritable,Never,TRUE,TRUE,TRUE,TRUE,TRUE,0.9,4.4,7,2.6,67.73,11,Severe
21,Female,3.7,Battle Royale,Apex Legends,Multi-platform,5.8,Poor,Never,Poor,2.84,8,Angry,Never,FALSE,FALSE,FALSE,FALSE,FALSE,0.4,8,3,7.4,24.63,10,Low
19,Male,5.2,MOBA,Mobile Legends,Multi-platform,6.5,Poor,Never,Good,1.85,8,Angry,Daily,FALSE,FALSE,FALSE,TRUE,FALSE,1.8,8.8,1,6.2,89.91,2,Low
20,Male,6.6,FPS,Overwatch,Mobile,5.1,Very Poor,Often,Failing,1.77,5,Irritable,Never,TRUE,TRUE,FALSE,TRUE,TRUE,1.6,7.4,6,5.5,56.6,5,High
24,Female,6.2,Strategy,StarCraft II,PC,5.9,Fair,Always,Average,,4,Anxious,Rarely,FALSE,FALSE,FALSE,FALSE,TRUE,0.7,7.8,2,7.3,129.73,12,Low
18,Male,3.6,MOBA,Dota 2,Console,6.1,Poor,Always,Below Average,2.02,,Restless,Daily,FALSE,FALSE,FALSE,FALSE,FALSE,0.2,7.1,3,10.1,8.29,1,Low
21,Female,6,MOBA,Mobile Legends,Mobile,6.7,Fair,Always,Excellent,2.41,3,Irritable,Often,FALSE,FALSE,FALSE,FALSE,FALSE,0.8,6.1,3,10.3,108.18,3,Low
27,Male,4.3,Battle Royale,Warzone,Multi-platform,5.5,Fair,Never,Below Average,,2,Normal,Rarely,FALSE,FALSE,FALSE,FALSE,FALSE,1.2,8.8,3,12.6,4.81,2,Low
16,Male,8.7,RPG,Elden Ring,Console,3.6,Poor,Sometimes,Below Average,1.3,,Depressed,Rarely,TRUE,FALSE,FALSE,TRUE,TRUE,0.9,6.9,7,6.4,178.36,6,High
21,Male,12,Mobile Games,Genshin Impact,Mobile,3.8,Very Poor,Sometimes,Average,1.31,5,Depressed,Rarely,FALSE,FALSE,FALSE,TRUE,TRUE,0.9,2.8,9,1.1,389.7,2,Moderate
22,Male,5.4,MMO,World of Warcraft,Mobile,5.5,Good,Often,Below Average,1.07,1,Excited,Rarely,FALSE,FALSE,FALSE,FALSE,FALSE,0.3,6.4,3,10.9,39.77,3,Low
19,Female,4,Strategy,StarCraft II,PC,6.9,Fair,Often,Average,1.85,1,Angry,Daily,FALSE,FALSE,FALSE,FALSE,FALSE,0.4,6.6,2,8.2,46.13,4,Low
14,Female,4.7,MOBA,Dota 2,Mobile,5.5,Poor,Sometimes,Good,3.44,,Withdrawn,Sometimes,FALSE,FALSE,FALSE,TRUE,FALSE,1.1,7.3,3,8.3,87.51,4,Low
21,Male,2.7,MMO,Elder Scrolls Online,PC,8.2,Good,Often,Good,3.69,3,Angry,Sometimes,FALSE,FALSE,FALSE,FALSE,FALSE,0.6,6.8,1,12,12.31,11,Low
20,Male,7.2,Strategy,Civilization VI,Mobile,4.3,Very Poor,Always,Failing,2.58,8,Irritable,Sometimes,TRUE,TRUE,FALSE,FALSE,TRUE,0.6,8,5,3.6,123.4,1,High
27,Male,3.9,Strategy,StarCraft II,Multi-platform,6.9,Poor,Always,Below Average,,6,Excited,Never,FALSE,FALSE,FALSE,FALSE,FALSE,0.1,6.1,1,11.2,18.05,7,Low
24,Other,12.9,Mobile Games,Clash of Clans,Console,5.5,Fair,Rarely,Failing,,10,Irritable,Daily,TRUE,FALSE,FALSE,TRUE,FALSE,2.6,4.9,7,1.4,189.43,5,High
21,Male,5.1,MOBA,Dota 2,PC,6.7,Fair,Always,Good,1.28,1,Irritable,Never,FALSE,FALSE,FALSE,TRUE,FALSE,1.4,9.2,4,7.2,47.43,7,Low
21,Male,8.8,MMO,Elder Scrolls Online,Multi-platform,5.6,Poor,Rarely,Below Average,3.2,10,Angry,Never,FALSE,TRUE,TRUE,TRUE,TRUE,3.6,5.9,5,5.7,462.75,4,Severe
19,Male,5.2,Strategy,StarCraft II,Mobile,6.3,Good,Rarely,Good,3.7,2,Restless,Often,FALSE,FALSE,FALSE,TRUE,FALSE,2,7.9,2,8.5,60.25,1,Low
20,Male,6.2,Mobile Games,PUBG Mobile,Console,5.3,Fair,Never,Good,2.19,3,Angry,Never,FALSE,FALSE,FALSE,TRUE,TRUE,0.1,6.7,3,10.6,109.33,1,Low
19,Female,4.3,MMO,Final Fantasy XIV,Mobile,5.3,Fair,Sometimes,Average,3.09,3,Normal,Sometimes,FALSE,FALSE,FALSE,FALSE,FALSE,1.3,6.3,3,8.1,12.63,5,Low
19,Male,9.3,Mobile Games,Genshin Impact,Multi-platform,5.2,Very Poor,Sometimes,Poor,2.92,8,Restless,Rarely,FALSE,FALSE,TRUE,TRUE,TRUE,0.6,5.9,5,2.7,371.68,2,High
20,Male,11.3,Strategy,StarCraft II,Mobile,5.9,Fair,Rarely,Poor,2.86,2,Anxious,Rarely,TRUE,FALSE,FALSE,TRUE,TRUE,4.4,2.6,6,3.7,485.6,3,High
22,Male,11,FPS,Overwatch,Mobile,4.3,Very Poor,Rarely,Poor,3.23,4,Anxious,Often,TRUE,FALSE,TRUE,FALSE,TRUE,3.6,3.5,10,0,96.98,9,Severe
17,Other,7.1,Mobile Games,PUBG Mobile,Mobile,5.4,Fair,Sometimes,Poor,2.41,,Anxious,Rarely,FALSE,FALSE,FALSE,TRUE,TRUE,1.3,4.8,3,5.3,104.49,5,Low
17,Male,4.6,RPG,Skyrim,PC,5.7,Fair,Always,Average,3.24,,Normal,Sometimes,FALSE,FALSE,FALSE,TRUE,FALSE,1.4,7.2,3,9.1,17.42,2,Low
20,Male,3.2,MOBA,Dota 2,Multi-platform,7.2,Good,Often,Good,3.65,9,Euphoric,Often,FALSE,FALSE,FALSE,FALSE,FALSE,1.4,9.4,3,12.2,17.98,2,Low
16,Male,5.1,MMO,Final Fantasy XIV,Multi-platform,6.6,Good,Sometimes,Average,1.35,,Restless,Sometimes,FALSE,FALSE,FALSE,TRUE,FALSE,2.6,8,3,7.2,130.26,1,Low
17,Male,2.7,MOBA,Dota 2,Console,8.6,Good,Rarely,Excellent,1.44,,Depressed,Rarely,FALSE,FALSE,FALSE,FALSE,FALSE,0.8,9.1,1,11.6,43.38,4,Low
20,Female,2.7,Battle Royale,Warzone,PC,7.1,Fair,Rarely,Good,3.38,2,Normal,Often,FALSE,FALSE,FALSE,FALSE,FALSE,0.6,6.6,2,13.9,37.91,7,Low
18,Male,4.1,Strategy,StarCraft II,Multi-platform,5.8,Fair,Never,Excellent,3.01,,Anxious,Never,FALSE,FALSE,FALSE,FALSE,FALSE,0.2,8.9,3,9.9,34.75,1,Low
20,Female,0.5,Strategy,Age of Empires,Mobile,8.7,Good,Never,Good,3.88,3,Irritable,Daily,FALSE,FALSE,FALSE,FALSE,FALSE,0.4,10.4,1,15,22.38,10,Low
19,Male,7.1,MMO,Final Fantasy XIV,Console,4.3,Very Poor,Always,Below Average,2.45,4,Euphoric,Often,FALSE,TRUE,FALSE,FALSE,TRUE,0.1,8.5,5,3.7,79,5,Moderate
19,Female,7.8,MOBA,League of Legends,Mobile,4.2,Fair,Sometimes,Poor,2.89,6,Depressed,Often,FALSE,FALSE,FALSE,FALSE,FALSE,0.1,4.7,4,8.3,135.38,6,Low
20,Female,3.5,MOBA,Mobile Legends,Console,5,Poor,Never,Average,3.22,3,Restless,Often,FALSE,FALSE,FALSE,FALSE,FALSE,1,10,2,8.5,48.25,10,Low
19,Male,8.7,Battle Royale,Fortnite,Console,3.3,Poor,Rarely,Below Average,3.47,2,Normal,Rarely,TRUE,FALSE,FALSE,FALSE,FALSE,1.6,6.4,5,3.2,362.26,6,High
19,Male,8.2,Battle Royale,PUBG,Multi-platform,5.9,Poor,Often,Poor,2.47,7,Depressed,Sometimes,TRUE,FALSE,TRUE,FALSE,TRUE,0.9,5.4,5,4,18.61,6,High
19,Female,8.7,RPG,Cyberpunk 2077,PC,4.2,Fair,Always,Poor,1.97,10,Anxious,Daily,FALSE,TRUE,FALSE,FALSE,FALSE,5.5,4.8,6,7.2,428.62,4,High
27,Male,6,MOBA,Dota 2,PC,5.7,Good,Often,Below Average,,3,Depressed,Daily,FALSE,FALSE,FALSE,TRUE,FALSE,1.2,5.3,5,5,74.07,8,Low
18,Female,5.9,FPS,Overwatch,Mobile,5.2,Fair,Always,Average,2.37,,Euphoric,Often,FALSE,TRUE,FALSE,TRUE,TRUE,3.1,6.2,3,6.1,25.16,6,Moderate
23,Male,5.2,Mobile Games,Clash of Clans,Mobile,5.9,Fair,Sometimes,Excellent,,2,Excited,Rarely,FALSE,FALSE,FALSE,TRUE,FALSE,1.5,8.4,2,9.6,103.9,2,Low
21,Male,5.5,MMO,Final Fantasy XIV,PC,5.3,Good,Rarely,Excellent,2.35,10,Restless,Often,FALSE,TRUE,FALSE,FALSE,FALSE,3.9,8.7,3,5.3,121.44,11,Moderate
17,Male,7.5,MOBA,League of Legends,Mobile,3.4,Very Poor,Rarely,Below Average,2.62,,Anxious,Never,FALSE,FALSE,TRUE,TRUE,FALSE,0.2,7.7,5,4.5,145.06,4,Moderate
26,Female,8.8,MMO,Elder Scrolls Online,PC,4.9,Poor,Often,Average,,9,Euphoric,Rarely,TRUE,TRUE,TRUE,FALSE,TRUE,3.5,5.9,6,1.6,430.82,14,Severe
20,Female,5.7,RPG,Elden Ring,Mobile,5.5,Fair,Sometimes,Average,2.25,3,Euphoric,Daily,FALSE,TRUE,FALSE,FALSE,TRUE,0.3,8.7,5,8.5,60.72,2,Moderate
22,Female,10.9,FPS,Call of Duty,PC,5.2,Very Poor,Never,Poor,3.74,9,Irritable,Never,TRUE,TRUE,FALSE,TRUE,TRUE,3,5.2,8,0,247.59,7,Severe
17,Male,2.3,FPS,Overwatch,Mobile,8.7,Good,Often,Good,1.39,,Restless,Often,FALSE,FALSE,FALSE,FALSE,FALSE,0.8,7,4,12.7,35.91,4,Low
24,Male,0.7,FPS,Valorant,Multi-platform,8.3,Good,Often,Average,,5,Normal,Daily,FALSE,FALSE,FALSE,FALSE,FALSE,0.3,9.5,1,11,6.93,7,Low
20,Male,6.6,MMO,Elder Scrolls Online,Console,3.8,Very Poor,Often,Poor,3.02,3,Angry,Sometimes,TRUE,TRUE,FALSE,TRUE,TRUE,0.1,8.1,3,7.5,50.22,9,High
19,Female,9.3,FPS,CS:GO,Multi-platform,3,Poor,Sometimes,Poor,3.51,5,Irritable,Daily,TRUE,FALSE,FALSE,TRUE,FALSE,2.3,6.1,5,4.6,195.86,3,High
33,Female,2.7,FPS,Overwatch,Mobile,8.7,Good,Rarely,Good,,6,Normal,Rarely,FALSE,FALSE,FALSE,FALSE,FALSE,1,8.3,2,10.7,31.35,20,Low
14,Male,1,MMO,World of Warcraft,Multi-platform,7.2,Fair,Often,Below Average,2.33,,Restless,Sometimes,FALSE,FALSE,FALSE,FALSE,FALSE,0.4,10.1,1,13.4,35.39,2,Low
20,Female,8.9,Strategy,Civilization VI,Mobile,4.3,Fair,Rarely,Poor,3.28,1,Angry,Rarely,TRUE,FALSE,TRUE,TRUE,TRUE,3.4,6.9,5,4.7,131.33,2,Severe
20,Male,8.2,FPS,CS:GO,Console,3.2,Poor,Never,Failing,2.33,8,Anxious,Rarely,FALSE,FALSE,TRUE,FALSE,TRUE,3.6,5.8,5,5.2,103.72,2,Moderate
18,Male,7.8,MMO,Final Fantasy XIV,Mobile,3.7,Very Poor,Sometimes,Poor,3.65,,Euphoric,Never,TRUE,TRUE,TRUE,FALSE,TRUE,1.4,5.8,6,6.3,89.41,6,Severe
25,Female,3.9,Battle Royale,PUBG,Console,6.3,Poor,Always,Average,,2,Irritable,Often,FALSE,FALSE,FALSE,FALSE,FALSE,0.2,8.2,2,12.4,17.57,9,Low
16,Male,4.6,Battle Royale,PUBG,Multi-platform,6,Very Poor,Sometimes,Below Average,3.2,,Restless,Often,FALSE,FALSE,FALSE,TRUE,FALSE,1.6,6.9,3,8.9,37.4,5,Low
20,Male,8.2,MOBA,Dota 2,PC,5,Poor,Often,Below Average,2.21,6,Restless,Sometimes,TRUE,FALSE,TRUE,FALSE,TRUE,3.1,6.6,6,6.4,66.44,4,High
18,Female,7.3,Mobile Games,Candy Crush,Mobile,4.7,Very Poor,Always,Excellent,2.27,,Irritable,Never,TRUE,TRUE,FALSE,TRUE,FALSE,2.8,6.4,5,5,81.74,6,High
23,Female,2,MOBA,Mobile Legends,Console,8.7,Fair,Sometimes,Excellent,,10,Excited,Daily,FALSE,FALSE,FALSE,FALSE,FALSE,0.5,10.6,1,13.7,20.74,11,Low
19,Male,5.5,RPG,Cyberpunk 2077,Mobile,6.1,Fair,Rarely,Poor,1.05,1,Irritable,Daily,FALSE,TRUE,FALSE,FALSE,FALSE,2.8,7.7,3,9.7,149.11,7,Moderate
23,Male,4.4,Mobile Games,PUBG Mobile,PC,6.3,Fair,Often,Average,,1,Depressed,Rarely,FALSE,FALSE,FALSE,FALSE,FALSE,0.5,8.9,3,9.7,14.36,8,Low
20,Male,7.9,FPS,Overwatch,Console,4.7,Good,Often,Below Average,1.94,6,Withdrawn,Never,TRUE,TRUE,FALSE,FALSE,TRUE,3.9,5.6,5,8,89.96,6,High
27,Male,14.2,Strategy,StarCraft II,Multi-platform,3.4,Very Poor,Rarely,Failing,,7,Anxious,Rarely,FALSE,FALSE,FALSE,TRUE,TRUE,4.4,2.9,9,0,73.8,10,Moderate
15,Male,15.1,Strategy,Age of Empires,Multi-platform,5.7,Fair,Sometimes,Poor,3.72,,Restless,Never,FALSE,FALSE,FALSE,TRUE,TRUE,1.5,0.7,9,0,435.38,2,Moderate
13,Female,5.2,Mobile Games,PUBG Mobile,Multi-platform,5.5,Fair,Always,Average,3.1,,Normal,Never,FALSE,FALSE,FALSE,TRUE,FALSE,1.3,8.9,3,8.8,92.86,3,Low
19,Male,10.6,MOBA,League of Legends,Console,5.5,Good,Always,Failing,3.07,7,Anxious,Often,TRUE,TRUE,FALSE,FALSE,FALSE,2.2,2.5,5,0.3,435.3,1,Severe
26,Male,3.7,Mobile Games,PUBG Mobile,PC,5,Fair,Always,Good,,1,Restless,Daily,FALSE,FALSE,FALSE,FALSE,FALSE,1.8,6.2,3,7.4,18.82,1,Low
26,Female,8.2,Mobile Games,Clash of Clans,Multi-platform,4.1,Very Poor,Often,Average,,9,Anxious,Daily,FALSE,FALSE,FALSE,FALSE,TRUE,0.2,7,5,8,134.24,14,Low
20,Male,10.3,MMO,Elder Scrolls Online,Mobile,3.2,Very Poor,Often,Below Average,1.53,9,Euphoric,Sometimes,FALSE,TRUE,FALSE,FALSE,TRUE,0.1,4.3,7,4.2,266.35,7,High
